network_code,receiver_code,receiver_type,receiver_latitude,receiver_longitude,receiver_elevation_m,p_arrival_sample,p_status,p_weight,p_travel_sec,s_arrival_sample,s_status,s_weight,source_id,source_origin_time,source_origin_uncertainty_sec,source_latitude,source_longitude,source_error_sec,source_gap_deg,source_horizontal_uncertainty_km,source_depth_km,source_depth_uncertainty_km,source_magnitude,source_magnitude_type,source_magnitude_author,source_mechanism_strike_dip_rake,source_distance_deg,source_distance_km,back_azimuth_deg,snr_db,coda_end_sample,trace_start_time,trace_category,trace_name
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,17.0499992371,2072.0,manual,0.5,12662884,2007-05-25 11:47:59.60,0.29,32.7008,-116.0355,0.9494,47.934,3.0123,13.47,None,3.0,ml,None,None,0.92,102.34,282.0,[ 37.90000153  42.59999847  37.90000153],[[ 2960.]],2007-05-25 11:48:07.650000,earthquake_local,109C.TA_20070525114806_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.58,12.9399995804,1515.0,manual,0.62,ci14296868,2007-06-08 06:13:05.900000,nan,33.4551667,-116.5946667,0.24,48.0,0.24,11.31,0.45,1.57,ml,CI,None,0.7087,78.81,37.2,[ 20.20000076  21.39999962  18.60000038],[[ 2185.]],2007-06-08 06:13:12.840000,earthquake_local,109C.TA_20070608061311_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.6,9.47000026703,1337.0,manual,0.6,ci14297160,2007-06-09 21:29:26.450000,nan,32.5163333,-116.735,0.14,226.0,0.54,3.25,0.42,1.35,ml,CI,None,0.4852,53.96,140.2,[ 11.          11.39999962   6.69999981],[[ 3199.]],2007-06-09 21:29:28.920000,earthquake_local,109C.TA_20070609212927_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.53,17.3700008392,2060.0,manual,0.53,ci14297236,2007-06-10 11:46:52.900000,nan,33.2435,-116.0363333,0.3,25.0,0.28,6.02,1.38,2.17,ml,CI,None,0.9646,107.27,68.7,[ 25.29999924  31.          25.39999962],[[ 3100.]],2007-06-10 11:47:02.270000,earthquake_local,109C.TA_20070610114701_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.53,17.6200008392,1947.0,manual,0.53,ci14297248,2007-06-10 11:51:13.450000,nan,33.2425,-116.0395,0.39,40.0,0.4,3.54,1.13,1.67,ml,CI,None,0.9618,106.96,68.7,[ 17.79999924  20.79999924  21.29999924],[[ 3100.]],2007-06-10 11:51:24.070000,earthquake_local,109C.TA_20070610115123_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.53,16.9699993134,1925.0,manual,0.58,ci14297312,2007-06-10 23:42:34.900000,nan,32.699,-116.0515,0.33,112.0,0.4,8.44,1.13,1.85,ml,CI,None,0.9074,100.91,102.4,[ 15.39999962  20.10000038  17.39999962],[[ 2829.]],2007-06-10 23:42:43.870000,earthquake_local,109C.TA_20070610234242_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.59,13.2299995422,1738.0,manual,0.63,ci14297660,2007-06-12 10:08:52.360000,nan,33.241,-116.355,0.25,40.0,0.26,12.87,0.48,1.47,ml,CI,None,0.7211,80.2,61.0,[ 15.89999962  19.29999924  10.        ],[[ 2468.]],2007-06-12 10:08:57.590000,earthquake_local,109C.TA_20070612100856_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.5,18.1900005341,1877.0,manual,0.5,12678959,2007-06-13 03:06:35.01,0.62,32.7329,-118.2282,1.0702,185.256,4.4413,6.77,None,3.4,ml,None,None,0.96,106.59,80.4,[ 42.5         38.70000076  41.        ],[[ 3199.]],2007-06-13 03:06:47.200000,earthquake_local,109C.TA_20070613030646_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.52,17.4699993134,2132.0,manual,0.52,ci10255269,2007-06-16 16:31:30.850000,nan,33.1518333,-116.0028333,0.28,51.0,0.29,13.19,0.75,2.18,ml,CI,None,0.9625,107.04,74.4,[ 20.29999924  21.70000076  17.5       ],[[ 3199.]],2007-06-16 16:31:39.320000,earthquake_local,109C.TA_20070616163138_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.64,7.55999994278,1367.0,manual,0.64,ci10255481,2007-06-17 20:31:08.710000,nan,32.7946667,-116.6596667,0.25,81.0,0.28,15.96,1.1,2.03,ml,CI,None,0.3866,42.99,104.3,[ 32.40000153  35.59999847  34.5       ],[[ 1860.]],2007-06-17 20:31:08.270000,earthquake_local,109C.TA_20070617203107_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.57,15.7899999619,1632.0,manual,0.57,ci10257241,2007-06-23 05:02:17.980000,nan,32.675,-116.098,0.26,89.0,0.5,8.38,1.04,1.41,ml,CI,None,0.8748,97.28,104.5,[  9.10000038  11.19999981  12.        ],[[ 3199.]],2007-06-23 05:02:28.770000,earthquake_local,109C.TA_20070623050227_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,17.6399993896,2189.0,manual,0.5,12688988,2007-06-27 01:04:07.35,0.42,31.9584,-116.7119,1.1272,132.853,5.1749,9.69,None,3.2,mw,None,None,0.99,109.61,340.4,[ 46.          52.29999924  46.79999924],[[ 2879.]],2007-06-27 01:04:15.990000,earthquake_local,109C.TA_20070627010414_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,17.2199993134,1875.0,manual,0.5,12690608,2007-06-28 19:54:58.81,0.34,32.7135,-116.0414,0.7497,48.37,4.1317,12.85,None,2.6,ml,None,None,0.91,101.51,281.3,[ 20.89999962  22.60000038  18.89999962],[[ 3147.]],2007-06-28 19:55:09.030000,earthquake_local,109C.TA_20070628195508_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.68,13.7299995422,1567.0,manual,0.67,ci10258849,2007-06-30 18:24:34.990000,nan,32.6376667,-117.9336667,0.86,217.0,3.85,17.16,None,2.08,ml,CI,None,0.7417,82.49,249.9,[ 20.39999962  24.20000076  15.69999981],[[ 2957.]],2007-06-30 18:24:43.720000,earthquake_local,109C.TA_20070630182442_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.64,6.23999977112,833.0,manual,0.7,ci10259305,2007-07-03 23:46:55.850000,nan,32.816,-117.4581667,0.23,274.0,0.77,17.06,1.26,1.91,ml,CI,None,0.3059,34.02,256.1,[ 18.70000076  23.39999962  20.39999962],[[ 2371.]],2007-07-03 23:46:58.090000,earthquake_local,109C.TA_20070703234657_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.62,7.09999990463,1319.0,manual,0.62,ci10259597,2007-07-05 11:50:39.270000,nan,32.5311667,-117.2338333,0.19,285.0,0.56,13.76,0.68,1.83,ml,CI,None,0.3729,41.47,196.8,[ 25.39999962  24.20000076  16.29999924],[[ 2529.]],2007-07-05 11:50:38.370000,earthquake_local,109C.TA_20070705115037_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.62,10.1599998474,1630.0,manual,0.62,ci10259993,2007-07-06 18:29:00.310000,nan,33.0088333,-116.469,0.21,80.0,0.32,9.66,1.26,1.86,ml,CI,None,0.5481,60.95,77.5,[ 18.39999962  22.          16.60000038],[[ 2261.]],2007-07-06 18:29:01.470000,earthquake_local,109C.TA_20070706182900_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,8.51000022888,1295.0,manual,0.5,12763676,2007-07-06 20:32:53.75,0.81,32.5202,-117.3092,0.4463,166.898,7.4666,14.18,None,2.7,ml,None,None,0.41,45.15,25.0,[ 32.5         32.5         26.39999962],[[ 2619.]],2007-07-06 20:32:55.260000,earthquake_local,109C.TA_20070706203254_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.62,13.029999733,1353.0,manual,0.58,ci10260661,2007-07-10 11:59:03.210000,nan,32.9521667,-116.256,0.26,58.0,0.28,11.16,0.81,1.68,ml,CI,None,0.7169,79.73,85.2,[ 16.89999962  14.5          8.69999981],[[ 3199.]],2007-07-10 11:59:12.240000,earthquake_local,109C.TA_20070710115911_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.61,10.1499996185,1338.0,manual,0.61,ci10263337,2007-07-18 14:25:45.940000,nan,33.4106667,-116.8756667,0.24,37.0,0.26,4.48,1.76,2.24,ml,CI,None,0.5548,61.7,20.3,[ 21.79999924  23.79999924  15.10000038],[[ 2599.]],2007-07-18 14:25:50.090000,earthquake_local,109C.TA_20070718142549_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.5,17.0699996948,1830.0,manual,0.5,12777192,2007-07-23 17:29:25.67,0.29,32.7329,-116.0405,0.8738,32.831,3.059,11.29,None,2.8,ml,None,None,0.91,101.19,280.1,[ 33.20000076  35.79999924  32.09999847],[[ 2657.]],2007-07-23 17:29:35.740000,earthquake_local,109C.TA_20070723172934_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.62,11.8999996185,1267.0,manual,0.58,ci10265513,2007-07-25 02:39:28.340000,nan,33.0936667,-116.3711667,0.25,41.0,0.35,12.72,0.79,1.65,ml,CI,None,0.6497,72.26,71.8,[ 10.5         12.19999981  12.10000038],[[ 3199.]],2007-07-25 02:39:36.240000,earthquake_local,109C.TA_20070725023935_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.53,17.6700000763,2068.0,manual,0.53,ci10266685,2007-07-28 01:54:59.820000,nan,32.697,-115.9541667,0.22,103.0,0.32,5.4,1.68,1.65,ml,CI,None,0.9881,109.89,101.5,[ 17.20000076  18.          12.10000038],[[ 2979.]],2007-07-28 01:55:09.490000,earthquake_local,109C.TA_20070728015508_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.56,10.0500001907,1540.0,manual,0.62,ci10266845,2007-07-28 22:26:25.220000,nan,32.4646667,-116.7046667,0.18,253.0,0.77,6.37,None,1.66,ml,CI,None,0.5413,60.2,141.6,[ 19.70000076  25.89999962  21.        ],[[ 2083.]],2007-07-28 22:26:27.270000,earthquake_local,109C.TA_20070728222626_EV
TA,109C,BH,32.8889,-117.1051,150.0,600.0,manual,0.58,12.9499998093,1538.0,manual,0.58,ci10267417,2007-08-01 03:20:30.540000,nan,33.3326667,-116.4305,0.22,29.0,0.26,4.33,1.61,1.99,ml,CI,None,0.7186,79.92,52.0,[ 27.39999962  29.20000076  21.89999962],[[ 2219.]],2007-08-01 03:20:37.490000,earthquake_local,109C.TA_20070801032036_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.59,14.7600002289,1773.0,manual,0.56,ci14311324,2007-08-04 10:33:06.980000,nan,33.2958333,-116.2481667,0.25,39.0,0.28,7.98,2.74,1.54,ml,CI,None,0.8259,91.85,60.7,[ 23.10000038  26.39999962  14.69999981],[[ 2298.]],2007-08-04 10:33:14.740000,earthquake_local,109C.TA_20070804103313_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.64,3.68000006676,1068.0,manual,0.64,ci14311424,2007-08-04 23:56:22.810000,nan,32.9311667,-117.305,0.19,222.0,0.53,5.32,None,1.61,ml,CI,None,0.1734,19.28,284.1,[ 37.59999847  36.29999924  27.39999962],[[ 1506.]],2007-08-04 23:56:18.490000,earthquake_local,109C.TA_20070804235617_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.63,16.3299999237,2060.0,manual,0.63,ci14311528,2007-08-05 16:04:17.040000,nan,33.0943333,-116.0593333,0.28,58.0,0.4,5.49,None,1.47,ml,CI,None,0.9024,100.36,77.1,[ 12.89999962  17.60000038  11.89999962],[[ 2880.]],2007-08-05 16:04:24.370000,earthquake_local,109C.TA_20070805160423_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.64,3.75999999046,767.0,manual,0.6,ci14311968,2007-08-08 10:46:29.760000,nan,32.9351667,-117.2898333,0.13,245.0,0.91,12.73,0.79,0.87,ml,CI,None,0.1621,18.03,286.6,[ 19.29999924  23.          10.39999962],[[ 1245.]],2007-08-08 10:46:28.520000,earthquake_local,109C.TA_20070808104627_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.5,10.8900003433,1536.0,manual,0.5,12801381,2007-08-10 00:16:34.55,0.35,33.0143,-116.4463,1.1555,47.701,3.5518,7.63,None,2.9,ml,None,None,0.57,63.15,257.5,[ 48.59999847  51.20000076  42.40000153],[[ 2017.]],2007-08-10 00:16:37.440000,earthquake_local,109C.TA_20070810001636_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.55,15.7100000381,1940.0,manual,0.55,ci14313884,2007-08-17 03:19:14.880000,nan,32.6735,-116.096,0.28,96.0,0.47,10.35,1.03,1.47,ml,CI,None,0.8768,97.51,104.5,[ 13.10000038  15.89999962  12.39999962],[[ 3199.]],2007-08-17 03:19:22.590000,earthquake_local,109C.TA_20070817031921_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.69,10.9799995422,1588.0,manual,0.64,ci14313896,2007-08-17 06:27:58.830000,nan,33.461,-116.8855,0.3,31.0,0.2,10.95,0.54,2.47,ml,CI,None,0.5995,66.67,17.9,[ 35.59999847  37.5         35.20000076],[[ 2119.]],2007-08-17 06:28:01.810000,earthquake_local,109C.TA_20070817062800_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.6,15.8100004196,1927.0,manual,0.6,ci14314152,2007-08-18 15:39:24.610000,nan,32.664,-116.1106667,0.26,147.0,0.37,9.37,0.63,1.74,ml,CI,None,0.8672,96.45,105.3,[ 20.          18.29999924  16.20000076],[[ 2799.]],2007-08-18 15:39:32.420000,earthquake_local,109C.TA_20070818153931_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.65,7.90999984741,1060.0,manual,0.65,ci14314512,2007-08-20 19:50:51.710000,nan,32.6125,-117.4668333,0.2,286.0,0.94,12.22,1.53,2.07,ml,CI,None,0.411,45.7,227.6,[ 21.70000076  25.39999962  16.20000076],[[ 2185.]],2007-08-20 19:50:54.620000,earthquake_local,109C.TA_20070820195053_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.61,9.26000022888,1370.0,manual,0.61,ci10272213,2007-08-25 05:02:50.810000,nan,33.2933333,-116.769,0.22,44.0,0.27,12.41,0.86,1.81,ml,CI,None,0.4922,54.74,34.9,[ 27.79999924  29.60000038  30.60000038],[[ 1954.]],2007-08-25 05:02:53.070000,earthquake_local,109C.TA_20070825050252_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,17.8299999237,2100.0,manual,0.5,12816225,2007-08-29 04:13:47.16,0.26,33.1193,-116.0207,1.2504,17.985,1.9883,3.1,None,3.6,ml,None,None,0.94,104.51,256.1,[ 52.29999924  58.59999847  52.90000153],[[ 3199.]],2007-08-29 04:13:55.990000,earthquake_local,109C.TA_20070829041354_EV
TA,109C,BH,32.8889,-117.1051,150.0,900.0,manual,0.5,5.25,1278.0,manual,0.5,12816661,2007-08-30 09:53:07.59,0.32,32.6931,-117.4375,1.1545,140.005,2.9323,10.0,None,3.4,ml,None,None,0.34,37.96,55.0,[ 65.40000153  65.09999847  58.09999847],[[ 2207.]],2007-08-30 09:53:03.840000,earthquake_local,109C.TA_20070830095302_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.61,4.61000013351,855.0,manual,0.61,ci10274341,2007-08-30 14:44:46.760000,nan,32.77,-117.3316667,0.11,272.0,0.78,10.97,1.0,1.41,ml,CI,None,0.2246,24.98,238.0,[ 15.39999962  18.39999962  12.39999962],[[ 2420.]],2007-08-30 14:44:46.370000,earthquake_local,109C.TA_20070830144445_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.58,16.5100002289,1700.0,manual,0.58,ci10275393,2007-08-31 23:26:53.580000,nan,32.6778333,-116.038,0.28,144.0,0.35,7.59,0.99,1.57,ml,CI,None,0.9232,102.67,103.5,[ 9.80000019  9.39999962  3.4000001 ],[[ 3199.]],2007-08-31 23:27:05.090000,earthquake_local,109C.TA_20070831232704_EV
TA,109C,BH,32.8889,-117.1051,150.0,700.0,manual,0.71,4.75,1082.0,manual,0.66,ci10275829,2007-09-02 21:20:30.270000,nan,32.7643333,-117.3455,0.12,255.0,0.45,11.01,0.6,1.96,ml,CI,None,0.2375,26.41,238.3,[ 36.29999924  35.20000076  30.29999924],[[ 2126.]],2007-09-02 21:20:28.020000,earthquake_local,109C.TA_20070902212027_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.54,12.3500003815,1274.0,manual,0.62,ci10275961,2007-09-03 10:26:45.450000,nan,33.4463333,-116.6408333,0.23,25.0,0.23,7.33,0.53,2.14,ml,CI,None,0.6787,75.48,35.0,[ 41.5         34.59999847  30.79999924],[[ 1999.]],2007-09-03 10:26:53.800000,earthquake_local,109C.TA_20070903102652_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.69,4.55000019073,747.0,manual,0.62,ci10276025,2007-09-03 18:08:19.900000,nan,32.7725,-117.335,0.12,274.0,0.63,10.99,0.85,1.44,ml,CI,None,0.2257,25.1,238.9,[ 16.10000038  17.20000076   9.69999981],[[ 2188.]],2007-09-03 18:08:20.450000,earthquake_local,109C.TA_20070903180819_EV
TA,109C,BH,32.8889,-117.1051,150.0,500.0,manual,0.56,16.6700000763,1655.0,manual,0.54,ci10276125,2007-09-04 03:52:20.200000,nan,33.0931667,-116.048,0.24,59.0,0.3,5.58,None,1.73,ml,CI,None,0.9115,101.36,77.3,[ 10.19999981  21.5         14.39999962],[[ 3199.]],2007-09-04 03:52:31.870000,earthquake_local,109C.TA_20070904035230_EV
TA,109C,BH,32.8889,-117.1051,150.0,400.0,manual,0.6,14.9300003052,1512.0,manual,0.6,ci10276153,2007-09-04 09:47:00.290000,nan,33.36,-116.282,0.29,26.0,0.26,4.71,None,2.3,ml,CI,None,0.8353,92.9,55.9,[ 39.          39.40000153  46.29999924],[[ 2073.]],2007-09-04 09:47:11.220000,earthquake_local,109C.TA_20070904094710_EV
TA,109C,BH,32.8889,-117.1051,150.0,800.0,manual,0.57,14.4300003052,1872.0,manual,0.57,ci10276165,2007-09-04 12:48:30.840000,nan,33.652,-116.7545,0.26,20.0,0.21,12.83,0.32,2.46,ml,CI,None,0.8158,90.72,21.1,[ 36.          32.79999924  29.        ],[[ 2537.]],2007-09-04 12:48:37.270000,earthquake_local,109C.TA_20070904124836_EV
